strategy,K,n,m,predicted_variance,empirical_variance,interior_rate,ks_statistic,wasserstein
pair,4,4096,6,0.01318359375,0.013082473249753491,1.0,0.009672865312891465,0.012596331809570139
pair,4,65536,6,0.000823974609375,0.000825300350189915,1.0,0.006963795443252541,0.0070571794833270635
pair,4,1048576,6,5.14984130859375e-05,5.224410288139924e-05,1.0,0.0059641812511299075,0.009581400660115834
pair,4,16777216,6,3.2186508178710938e-06,3.221728081168544e-06,1.0,0.005269979861208807,0.006196618200023271
pair,8,4096,28,0.2119140625,0.1983139796714186,0.97175,0.014916462730259261,0.01967793418586448
pair,8,65536,28,0.01324462890625,0.013299415052756112,1.0,0.006332124355123092,0.006749453146173849
pair,8,1048576,28,0.000827789306640625,0.0008381126193051348,1.0,0.007422140329201243,0.007037422836614615
pair,8,16777216,28,5.173683166503906e-05,5.248691956771576e-05,1.0,0.005744976531638524,0.006853165034757141
pair,12,4096,66,1.11181640625,0.5357771007026839,0.65875,0.17146742184634262,0.1887131297530762
pair,12,65536,66,0.069488525390625,0.06864717324405008,1.0,0.007848739748933797,0.010342246679811054
pair,12,1048576,66,0.0043430328369140625,0.004398335920707076,1.0,0.004869443861103523,0.0076224473440577355
pair,12,16777216,66,0.0002714395523071289,0.00027157598472576726,1.0,0.008365335596903445,0.012940090841032547
pair,20,4096,190,8.95263671875,0.8263186329870751,0.25905,0.36910907479109767,0.5122083003448945
pair,20,65536,190,0.559539794921875,0.39876235769219537,0.8152,0.09063488270866915,0.0890687287160623
pair,20,1048576,190,0.03497123718261719,0.0352321139477998,1.0,0.006190734270076298,0.0074703173193632535
pair,20,16777216,190,0.0021857023239135742,0.0021882877928689182,1.0,0.006373771939158668,0.008135607089042355
pair,32,4096,496,60.42578125,0.9348828673709436,0.0978,0.44881975310386013,0.6762623327248424
pair,32,65536,496,3.776611328125,0.7324961619728827,0.39315,0.3034249482678074,0.3897875776354217
pair,32,1048576,496,0.2360382080078125,0.22410257211559373,0.959,0.019780633102128964,0.024264413442069796
pair,32,16777216,496,0.014752388000488281,0.014693724318172847,1.0,0.006819742930683326,0.011966087595044196
ova,4,4096,4,0.0068359375,0.0068632941694139,1.0,0.006898947087708995,0.007416539442865879
ova,4,65536,4,0.00042724609375,0.0004327350165299026,1.0,0.00820127103119761,0.010927468817533991
ova,4,1048576,4,2.6702880859375e-05,2.7038016430757922e-05,1.0,0.007466416170061829,0.01022880701079258
ova,4,16777216,4,1.6689300537109375e-06,1.6909136469592431e-06,1.0,0.005372999641297338,0.009873157449465465
ova,8,4096,8,0.021484375,0.021283977318897303,1.0,0.005136534591813735,0.0065604915614086694
ova,8,65536,8,0.0013427734375,0.001331000852822664,1.0,0.007766211609388396,0.012621197132466903
ova,8,1048576,8,8.392333984375e-05,8.356825002452113e-05,1.0,0.004796806185670355,0.0075999365112780996
ova,8,16777216,8,5.245208740234375e-06,5.287936861770161e-06,1.0,0.004112306375230107,0.0051354329116981255
ova,12,4096,12,0.0439453125,0.04400792674550987,1.0,0.010532556643966406,0.01489859860492452
ova,12,65536,12,0.00274658203125,0.002693813458390363,1.0,0.005416837366351679,0.009606944335451286
ova,12,1048576,12,0.000171661376953125,0.00017217970043082963,1.0,0.008872538721953704,0.013783434583758533
ova,12,16777216,12,1.0728836059570312e-05,1.0715642618599252e-05,1.0,0.005960446233717054,0.008163038558546587
ova,20,4096,20,0.1123046875,0.112050885458921,0.9967,0.005303302300791901,0.006403594689616774
ova,20,65536,20,0.00701904296875,0.006985732372766506,1.0,0.004785712873541348,0.00890373542963882
ova,20,1048576,20,0.000438690185546875,0.0004322390820761788,1.0,0.0037610832552305573,0.006917444841447156
ova,20,16777216,20,2.7418136596679688e-05,2.7193926944227157e-05,1.0,0.004304332257180021,0.006140640046367527
ova,32,4096,32,0.2734375,0.24749264622139716,0.94545,0.02791464731962004,0.02697921864240567
ova,32,65536,32,0.01708984375,0.016756312743867092,1.0,0.005981855615488807,0.011069519353772837
ova,32,1048576,32,0.001068115234375,0.001064185343019311,1.0,0.005417225045726337,0.006722650015927046
ova,32,16777216,32,6.67572021484375e-05,6.67908848515855e-05,1.0,0.003699409873089199,0.004286058341863151
agg,4,4096,1,0.0009765625,0.0010026285341271305,1.0,0.010919718470157047,0.014388244276762347
agg,4,65536,1,6.103515625e-05,6.088225280968385e-05,1.0,0.006462778162947713,0.007741283951232959
agg,4,1048576,1,3.814697265625e-06,3.747718596646967e-06,1.0,0.01319696787010749,0.015558738683535252
agg,4,16777216,1,2.384185791015625e-07,2.424733871214382e-07,1.0,0.005664370573497612,0.009271301148858132
agg,8,4096,1,0.0009765625,0.0009814123203923828,1.0,0.013615688155897199,0.014830834104597995
agg,8,65536,1,6.103515625e-05,6.117891584805647e-05,1.0,0.007561488730631227,0.009723326157832215
agg,8,1048576,1,3.814697265625e-06,3.6969784941070028e-06,1.0,0.007337952410783388,0.012980892147223224
agg,8,16777216,1,2.384185791015625e-07,2.4173340252522617e-07,1.0,0.006389396845449591,0.008382887557948587
agg,12,4096,1,0.0009765625,0.0009742090688609405,1.0,0.010146124555326708,0.00940288116683623
agg,12,65536,1,6.103515625e-05,6.184120731827545e-05,1.0,0.005788511269368746,0.008292821567003492
agg,12,1048576,1,3.814697265625e-06,3.843628109926381e-06,1.0,0.00644367431707632,0.010356286628484215
agg,12,16777216,1,2.384185791015625e-07,2.4004841687133777e-07,1.0,0.004634809037345783,0.0074306101952887095
agg,20,4096,1,0.0009765625,0.000994900342160281,1.0,0.0140320168082948,0.01879023362959047
agg,20,65536,1,6.103515625e-05,6.04553952997187e-05,1.0,0.009381638541054227,0.00953710107827837
agg,20,1048576,1,3.814697265625e-06,3.783540172475523e-06,1.0,0.0054973070377184186,0.006519717757950842
agg,20,16777216,1,2.384185791015625e-07,2.3871954174071987e-07,1.0,0.007804313317380629,0.011360879108550955
agg,32,4096,1,0.0009765625,0.000982347424551632,1.0,0.008916149619738578,0.009668298219006298
agg,32,65536,1,6.103515625e-05,6.110912784832524e-05,1.0,0.00427584403524528,0.005225327186230266
agg,32,1048576,1,3.814697265625e-06,3.822710653280233e-06,1.0,0.005229459683950943,0.008307608720562295
agg,32,16777216,1,2.384185791015625e-07,2.38010939374798e-07,1.0,0.0038358200121828834,0.004544111309236893
