strategy,K,n,m,r_bound,coverage,violations_on_event,max_deviation_on_event
pair,4,2048,6,0.36012104674497025,1.0,0,0.634765625
pair,4,32768,6,0.09003026168624256,1.0,0,0.1619873046875
pair,4,1048576,6,0.015915252137585385,1.0,0,0.029125213623046875
pair,8,2048,28,1.6805648848098613,1.0,0,1.0
pair,8,32768,28,0.42014122120246533,1.0,0,0.6978759765625
pair,8,1048576,28,0.07427117664206513,1.0,0,0.12424850463867188
pair,16,2048,120,7.202420934899405,1.0,0,1.0
pair,16,32768,120,1.8006052337248513,1.0,0,1.0
pair,16,1048576,120,0.3183050427517077,1.0,0,0.5054702758789062
ova,4,2048,4,0.24008069782998018,1.0,0,0.4609375
ova,4,32768,4,0.060020174457495044,1.0,0,0.103515625
ova,4,1048576,4,0.01061016809172359,1.0,0,0.020298004150390625
ova,8,2048,8,0.48016139565996035,1.0,0,0.86328125
ova,8,32768,8,0.12004034891499009,1.0,0,0.208984375
ova,8,1048576,8,0.02122033618344718,1.0,0,0.040210723876953125
ova,16,2048,16,0.9603227913199207,1.0,0,1.0
ova,16,32768,16,0.24008069782998018,1.0,0,0.42724609375
ova,16,1048576,16,0.04244067236689436,1.0,0,0.07498550415039062
agg,4,2048,1,0.060020174457495044,0.9942,0,0.119140625
agg,4,32768,1,0.015005043614373761,0.9929,0,0.0299072265625
agg,4,1048576,1,0.0026525420229308976,0.9941,0,0.00530242919921875
agg,8,2048,1,0.060020174457495044,0.99365,0,0.119140625
agg,8,32768,1,0.015005043614373761,0.9938,0,0.0299072265625
agg,8,1048576,1,0.0026525420229308976,0.9933,0,0.00530242919921875
agg,16,2048,1,0.060020174457495044,0.99315,0,0.119140625
agg,16,32768,1,0.015005043614373761,0.9925,0,0.0299072265625
agg,16,1048576,1,0.0026525420229308976,0.9939,0,0.005298614501953125
